Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
803,924,928,174,1748,122,681,1487,598,805,721,441,521,1048,582
832,906,927,193,1748,122,656,1512,528,875,595,428,522,1354,569
757,993,739,381,1736,134,642,1428,520,958,502,433,522,1398,558
714,1105,490,630,1682,188,591,1468,517,950,386,433,522,1532,514
707,1122,489,609,1670,222,591,1468,382,1056,336,485,538,1532,472
777,1128,485,613,1391,501,591,1468,327,1104,314,485,576,1532,472
709,1196,421,677,1391,482,608,1470,302,977,314,486,577,1532,472
704,1279,416,682,1391,465,624,1456,317,977,278,517,660,1532,472
706,1278,423,682,1390,465,625,1456,317,976,278,517,683,1532,472
735,1278,422,683,1390,461,629,1456,317,964,278,532,703,1532,472
731,1320,422,683,1376,475,629,1346,427,960,319,538,901,1532,472
698,1292,485,683,1320,531,629,1341,432,889,319,578,1050,1527,472
704,1293,485,683,1239,612,629,1341,432,829,319,578,1017,1528,472
712,1213,565,683,1234,617,629,1341,432,818,319,578,985,1521,472
712,1198,580,683,1138,713,629,1213,557,815,307,578,1026,1493,507
668,1242,580,683,1020,831,629,1191,571,823,247,522,1079,1489,517
746,1194,628,680,1022,832,532,1288,548,846,374,515,1118,1489,517
904,1186,636,680,1020,834,482,1338,538,856,374,513,1127,1489,517
959,1127,695,655,867,1012,482,941,876,915,354,506,1179,1517,563
1014,1045,697,715,878,1021,482,941,869,922,380,650,1086,1506,586
1015,947,758,747,860,1044,367,1017,908,922,387,650,1073,1500,573
1015,918,782,752,842,1062,219,1114,959,922,387,635,1073,1372,572
1015,892,776,784,772,1132,219,929,1144,922,387,608,1050,1371,650
1015,633,885,934,771,1113,223,898,1191,877,387,562,1072,1332,701
1015,606,851,995,771,1113,223,879,1160,906,391,545,1080,1318,650
1015,529,927,990,527,1363,223,866,1173,906,384,545,1102,1241,767
1036,527,929,977,434,1469,223,842,1197,906,357,545,1026,1213,777
1036,527,929,969,358,1553,82,933,1247,736,346,530,1016,1279,642
1039,502,947,976,358,1539,88,803,1385,653,345,528,1017,1151,487
914,627,946,977,184,1666,124,782,1384,682,311,530,1017,1058,487
836,705,947,961,118,1748,124,782,1384,635,247,525,1049,1020,490
738,803,924,928,174,1748,122,681,1487,598,230,500,1091,782,491
709,832,906,927,193,1748,122,656,1512,528,230,516,1091,550,491
697,757,993,739,381,1736,134,642,1428,520,230,513,1091,564,491
628,714,1105,490,630,1682,188,591,1468,517,230,513,1091,437,495
622,707,1122,489,609,1670,222,591,1468,382,224,461,1075,438,541
591,777,1128,485,613,1391,501,591,1468,327,224,461,1042,438,546
601,709,1196,421,677,1391,482,608,1470,302,225,460,1082,443,592
707,704,1279,416,682,1391,465,624,1456,317,246,429,1059,445,607
706,706,1278,423,682,1390,465,625,1456,317,258,429,1036,445,870
704,735,1278,422,683,1390,461,629,1456,317,270,479,1021,445,925
801,731,1320,422,683,1376,475,629,1346,427,229,518,817,445,980
914,698,1292,485,683,1320,531,629,1341,432,239,593,650,445,1012
930,704,1293,485,683,1239,612,629,1341,432,239,726,549,443,1212
1066,712,1213,565,683,1234,617,629,1341,432,240,745,482,443,1216
1066,712,1198,580,683,1138,713,629,1213,557,431,746,440,434,1181
1066,668,1242,580,683,1020,831,629,1191,571,444,746,387,434,1171
988,746,1194,628,680,1022,832,532,1288,548,339,666,348,434,1171
830,904,1186,636,680,1020,834,482,1338,538,427,605,339,434,1211
775,959,1127,695,655,867,1012,482,941,876,433,609,279,406,1275
720,1014,1045,697,715,878,1021,482,941,869,417,526,273,361,1382
732,1015,947,758,747,860,1044,367,1017,908,446,558,273,342,1380
732,1015,918,782,752,842,1062,219,1114,959,446,558,293,314,1419
777,1015,892,776,784,772,1132,219,929,1144,446,555,293,312,1435
880,1015,633,885,934,771,1113,223,898,1191,446,555,273,312,1402
999,1015,606,851,995,771,1113,223,879,1160,442,555,292,312,1469
1016,1015,529,927,990,527,1363,223,866,1173,441,568,271,286,1491
1042,1036,527,929,977,434,1469,223,842,1197,464,568,271,267,1457
1206,1036,527,929,969,358,1553,82,933,1247,486,567,314,198,1448
1294,1039,502,947,976,358,1539,88,803,1385,515,567,313,324,1448
1328,914,627,946,977,184,1666,124,782,1384,522,565,313,366,1448
1412,836,705,947,961,118,1748,124,782,1384,674,548,281,367,1445
1412,738,803,924,928,174,1748,122,681,1487,674,553,230,364,1444
1429,709,832,906,927,193,1748,122,656,1512,675,543,235,262,1444
1499,697,757,993,739,381,1736,134,642,1428,687,544,241,329,1469
1523,628,714,1105,490,630,1682,188,591,1468,691,550,266,322,1479
1519,622,707,1122,489,609,1670,222,591,1468,762,554,266,321,1433
