Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3
377,1452,690,896,763,357,1375,1206,700,917,194,192,903,928,351
397,1449,693,896,699,421,1374,1207,700,917,194,183,708,878,357
389,1434,562,1043,706,397,1398,1162,701,961,194,183,653,770,441
395,1355,504,1121,767,396,1399,1159,704,961,194,183,597,708,604
441,1329,511,947,962,396,1399,1159,472,1193,194,183,380,705,607
476,1329,478,977,951,407,1402,877,754,1193,192,154,341,705,644
476,1316,491,942,986,296,1392,980,772,1186,198,155,323,476,644
482,1316,478,927,1014,290,1339,1038,695,1264,161,174,308,428,641
472,1307,497,907,1034,287,1340,961,708,1330,133,202,303,428,641
471,1292,513,901,1040,287,1197,1062,750,1330,133,202,303,309,628
476,1300,424,990,1040,281,1194,1071,748,1327,119,221,303,311,621
462,1315,424,964,1066,281,1191,1074,717,1358,119,221,292,309,622
462,1314,425,846,1184,281,1106,1159,717,1303,174,221,290,347,622
477,1166,573,799,1170,342,906,1215,819,1297,218,224,309,316,601
423,1101,693,555,1373,383,610,1508,822,1275,238,226,341,321,620
423,1016,778,526,1402,383,459,1592,889,1196,317,226,343,351,627
423,858,936,518,1397,390,443,1614,889,1196,317,226,344,359,562
423,857,937,515,1380,410,438,1609,857,1238,316,227,357,359,517
421,858,925,528,1336,454,437,1480,963,1262,316,227,357,339,556
387,828,989,528,1336,454,437,1480,960,1265,316,224,283,339,556
373,799,1032,528,1336,454,437,1479,954,1260,312,221,187,337,556
364,678,1146,544,1336,446,445,1462,970,1238,252,272,178,337,570
367,661,1162,545,1336,315,551,1281,1165,1182,318,271,181,337,574
378,661,1162,545,1316,335,551,1247,1083,1258,358,270,186,337,708
432,534,1289,545,1275,323,604,1246,1084,1214,402,253,192,367,708
432,471,1352,545,1275,322,605,1246,1084,1193,423,208,183,342,749
421,248,1460,668,1248,349,608,1178,1152,1099,517,208,183,391,778
417,218,1491,670,1180,418,608,1178,1152,1004,612,208,183,399,804
408,313,1493,670,931,667,426,1360,1152,926,690,208,183,388,982
343,338,1533,658,882,728,394,1392,1152,770,846,205,154,358,935
335,346,1533,608,896,763,395,1390,1154,701,915,200,155,358,931
303,377,1452,690,896,763,357,1375,1206,700,917,194,174,358,910
283,397,1449,693,896,699,421,1374,1207,700,917,194,202,358,901
283,389,1434,562,1043,706,397,1398,1162,701,961,194,202,355,816
275,395,1355,504,1121,767,396,1399,1159,704,961,194,221,378,692
243,441,1329,511,947,962,396,1399,1159,472,1193,194,221,378,689
208,476,1329,478,977,951,407,1402,877,754,1193,192,221,378,652
208,476,1316,491,942,986,296,1392,980,772,1186,198,224,378,652
219,482,1316,478,927,1014,290,1339,1038,695,1264,161,226,378,652
299,472,1307,497,907,1034,287,1340,961,708,1330,133,226,370,652
304,471,1292,513,901,1040,287,1197,1062,750,1330,133,226,370,652
298,476,1300,424,990,1040,281,1194,1071,748,1327,119,227,388,652
297,462,1315,424,964,1066,281,1191,1074,717,1358,119,227,375,651
299,462,1314,425,846,1184,281,1106,1159,717,1303,174,224,312,651
366,477,1166,573,799,1170,342,906,1215,819,1297,218,221,297,651
404,423,1101,693,555,1373,383,610,1508,822,1275,238,272,296,632
430,423,1016,778,526,1402,383,459,1592,889,1196,317,271,215,625
559,423,858,936,518,1397,390,443,1614,889,1196,317,270,219,628
559,423,857,937,515,1380,410,438,1609,857,1238,316,253,219,782
559,421,858,925,528,1336,454,437,1480,963,1262,316,208,219,820
580,387,828,989,528,1336,454,437,1480,960,1265,316,208,219,824
629,373,799,1032,528,1336,454,437,1479,954,1260,312,208,211,824
629,364,678,1146,544,1336,446,445,1462,970,1238,252,208,211,804
626,367,661,1162,545,1336,315,551,1281,1165,1182,318,205,211,797
615,378,661,1162,545,1316,335,551,1247,1083,1258,358,200,211,790
561,432,534,1289,545,1275,323,604,1246,1084,1214,402,194,181,807
