Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2
377,1452,690,896,763,357,1375,1206,700,917,903,928
397,1449,693,896,699,421,1374,1207,700,917,708,878
389,1434,562,1043,706,397,1398,1162,701,961,653,770
395,1355,504,1121,767,396,1399,1159,704,961,597,708
441,1329,511,947,962,396,1399,1159,472,1193,380,705
476,1329,478,977,951,407,1402,877,754,1193,341,705
476,1316,491,942,986,296,1392,980,772,1186,323,476
482,1316,478,927,1014,290,1339,1038,695,1264,308,428
472,1307,497,907,1034,287,1340,961,708,1330,303,428
471,1292,513,901,1040,287,1197,1062,750,1330,303,309
476,1300,424,990,1040,281,1194,1071,748,1327,303,311
462,1315,424,964,1066,281,1191,1074,717,1358,292,309
462,1314,425,846,1184,281,1106,1159,717,1303,290,347
477,1166,573,799,1170,342,906,1215,819,1297,309,316
423,1101,693,555,1373,383,610,1508,822,1275,341,321
423,1016,778,526,1402,383,459,1592,889,1196,343,351
423,858,936,518,1397,390,443,1614,889,1196,344,359
423,857,937,515,1380,410,438,1609,857,1238,357,359
421,858,925,528,1336,454,437,1480,963,1262,357,339
387,828,989,528,1336,454,437,1480,960,1265,283,339
373,799,1032,528,1336,454,437,1479,954,1260,187,337
364,678,1146,544,1336,446,445,1462,970,1238,178,337
367,661,1162,545,1336,315,551,1281,1165,1182,181,337
378,661,1162,545,1316,335,551,1247,1083,1258,186,337
432,534,1289,545,1275,323,604,1246,1084,1214,192,367
432,471,1352,545,1275,322,605,1246,1084,1193,183,342
421,248,1460,668,1248,349,608,1178,1152,1099,183,391
417,218,1491,670,1180,418,608,1178,1152,1004,183,399
408,313,1493,670,931,667,426,1360,1152,926,183,388
343,338,1533,658,882,728,394,1392,1152,770,154,358
335,346,1533,608,896,763,395,1390,1154,701,155,358
303,377,1452,690,896,763,357,1375,1206,700,174,358
283,397,1449,693,896,699,421,1374,1207,700,202,358
283,389,1434,562,1043,706,397,1398,1162,701,202,355
275,395,1355,504,1121,767,396,1399,1159,704,221,378
243,441,1329,511,947,962,396,1399,1159,472,221,378
208,476,1329,478,977,951,407,1402,877,754,221,378
208,476,1316,491,942,986,296,1392,980,772,224,378
219,482,1316,478,927,1014,290,1339,1038,695,226,378
299,472,1307,497,907,1034,287,1340,961,708,226,370
304,471,1292,513,901,1040,287,1197,1062,750,226,370
298,476,1300,424,990,1040,281,1194,1071,748,227,388
297,462,1315,424,964,1066,281,1191,1074,717,227,375
299,462,1314,425,846,1184,281,1106,1159,717,224,312
366,477,1166,573,799,1170,342,906,1215,819,221,297
404,423,1101,693,555,1373,383,610,1508,822,272,296
430,423,1016,778,526,1402,383,459,1592,889,271,215
559,423,858,936,518,1397,390,443,1614,889,270,219
559,423,857,937,515,1380,410,438,1609,857,253,219
559,421,858,925,528,1336,454,437,1480,963,208,219
580,387,828,989,528,1336,454,437,1480,960,208,219
629,373,799,1032,528,1336,454,437,1479,954,208,211
629,364,678,1146,544,1336,446,445,1462,970,208,211
626,367,661,1162,545,1336,315,551,1281,1165,205,211
615,378,661,1162,545,1316,335,551,1247,1083,200,211
561,432,534,1289,545,1275,323,604,1246,1084,194,181
561,432,471,1352,545,1275,322,605,1246,1084,194,181
561,421,248,1460,668,1248,349,608,1178,1152,194,102
561,417,218,1491,670,1180,418,608,1178,1152,194,94
473,408,313,1493,670,931,667,426,1360,1152,194,124
473,343,338,1533,658,882,728,394,1392,1152,192,154
473,335,346,1533,608,896,763,395,1390,1154,198,197
473,303,377,1452,690,896,763,357,1375,1206,161,259
